job_id,agency,#_of_positions,business_title,level,job_category,career_level,salary_range_from,salary_range_to,salary_frequency,preferred_skills,posting_date,post_until
620687,dept of health mental hygiene,1,cybersecurity senior data analyst audit services fiscal audits,02,health technology data  innovation,experienced non manager,78795.0,110000.0,annual, a baccalaureate ba bs degree from an accredited college or university in information technology computer science accounting business or a related area including or supplemented by i 24 semester credits in computer science or 24 semester credits in accounting and auditing or a closely related field and one 1 or more years of experience in information technology in information systems and cybersecurity audit computer applications programming systems programming systems development database administration or planning of data information processing  highly organized motivated and self directed professional  excellent oral written and communications skills  ability to work independently when given specific instructions  excellent interpersonal and relationship building skills  ability to adapt to change quickly and follow directions and capable of handling multiple projects at the same time and meet deadlines  understanding of security frameworks such as iso 2700x cobit 5 and nist  related industry certifications or actively pursuing certifications such as security cissp cisa cism  advanced knowledge of microsoft office suite word excel powerpoint access and acl experience is a plus  basic understanding of commonly used operation systems databases network structures,2024-10-01,2024-05-09
598334,department of transportation,1,senior it business analyst,00,technology data  innovation,experienced non manager,75000.0,160000.0,annual, 5 years of experience in business analysis or product management  5 years of experience in gathering and documenting business and software requirements  3 years of data analysis experience by querying relational databases using sql  1 year of designing wireframes or prototypes  familiarity and foundational understanding of geospatial data and map interfaces  proficient with microsoft word excel powerpoint and visio  experience with power apps service now salesforce and microsoft access  familiarity with jira and azure devops platforms  experience with creating testing plans and performing different types of quality assurance testing,,
634144,dept of environment protection,1,business analyst,03,engineering architecture  planning policy research  analysis,experienced non manager,83685.0,122506.0,annual,,,
599769,dept of health mental hygiene,1,data analyst family and youth peer support programs bureau of children youth and families,02,constituent services  community programs health technology data  innovation policy research  analysis social services,experienced non manager,82506.0,94882.0,annual, strong competence in data analysis and application of data to inform drive and improve programming and policy  expertise in providing technical assistance to providers on data collection and reporting requirements  experience with developing logic models and theories of change to guide selection of indicators metrics  proficiency in use of data analytics software eg sas spss sql stata as well as microsoft office excel pivot tables  experience in survey development and design implementation analysis and dissemination  knowledge of and experience working in the mental health parenting education family support and or child development fields  familiarity with mental health and child serving systems in nyc preferred  very strong organizational skills and ability to handle multiple priorities and work to deadlines  excellent written and oral communication skills strong ability to effectively present data in verbal written and visual formats to diverse stakeholders including service providers program leadership and non technical audiences  ability to function independently and lead the programmatic data work for the fyps team  experience incorporating racial equity and social justice principles in data and evaluation activities strong foundation in the social construction of race ethnicity gender and sexual orientation and how that shapes data collection practices demonstrated commitment to supporting communities who have experienced systemic oppression and bias,,2024-05-18
631821,dept of design  construction,1,data science manager,00,engineering architecture  planning policy research  analysis,experienced non manager,75000.0,128750.0,annual,strong analytical collaborative problem solving and communication skills experience in managing projects and complex assignments is preferred ability to engage with stakeholders to understand business needs is critical degree in data science mathematics statistics or equivalent preferred knowledge of machine learning algorithm and programming languages such as python and sql knowledge of power bi azure services and data management tools,2024-04-04,
624258,dept of health mental hygiene,1,data analyst bureau of tuberculosis control,01,constituent services  community programs health policy research  analysis,experienced non manager,70087.0,70087.0,annual,,,2024-06-14
605039,department of investigation,1,associate data analyst,00,communications  intergovernmental affairs policy research  analysis public safety inspections  enforcement,experienced non manager,85000.0,96000.0,annual, masters degree or advanced coursework in computer science information systems or related field  strong analytical written and verbal communication skills  experience using statistical modeling techniques to analyze policy research questions related to social policy policing and government  advanced knowledge of excel and extensive experience with and proficiency in statistical computing software or data analytic environments eg sas spss stata sql nosql databases including etl python r tableau including the ability to analyze large and complex datasets for patterns and trends and build statistical models preference will be given to those with additional experience with geographical mapping software like arcgis  knowledge of one or more data visualizations tools such as i2 analyst notebook cognos tableau r libraries d3js and sas  knowledge and experience with statistical and datamining concepts such as significance testing regression decision trees clustering forecasting sampling and scenario analysis  be familiar with big data platforms and cloud tools data mining data cleaning data warehousing and structures and one or more rdbms systems  high proficiency in sampling techniques  excellent analytical verbal and written communication skills and ability to translate complex technical information for colleagues and consumers who have nontechnical backgrounds  knowledge of and demonstrated interest in criminal justice law enforcement police accountability and or civil rights issues  excellent organization and time management skills  superb judgment  ability to exercise discretion on sensitive or confidential matters  familiarity with nypd policies procedures operations and regulations and new york city government a plus  thorough when performing work and conscientious about attending to detail,,2024-07-11
604898,department of transportation,1,senior data scientist,4a,policy research  analysis,experienced non manager,103026.0,133630.0,annual,this position requires experience working with large datasets using sql and proficiency in python which may include pandas and or geopandas in addition successful candidates must have supervisory experience strong communication skills and demonstrated ability to effectively synthesize and distill complex analyses into plain language for planners and policymakers is essential for this role preference for supervisory experience to be inclusive of project management delivery experience demonstrated experience producing clear and effective data visualizations is highly desirable as is experience explaining complex nuanced analyses to nontechnical and unacquainted audiences ability to relate complex trends in the data to larger policy issues is very important as is being able to work with the operations and planning team to tailor data analysis and products to their needs familiarity with pyspark is desirable as is experience with powerbi and or javascript including leaflet or the folium package in python preference will be given to candidates who have demonstrated experience or interest in transportation planning logistics bike share micro mobility cycling and working with or in the public sector,,
632714,housing preservation  dvlpmnt,1,business analyst,02,technology data  innovation,experienced non manager,93288.0,107281.0,annual,,2024-08-04,2024-07-07
622864,dept of health mental hygiene,1,data analyst bureau of vital statistics,02,health policy research  analysis,experienced non manager,82506.0,82506.0,annual, a masters degree or doctorate from an accredited college or university with a specialization in an appropriate field of public health epidemiology statistics or health economics  the candidate should have academic training in public health statistics including applied epidemiology  strong written and verbal communication skills are required  extensive experience using sas or r and experience using microsoft office excel access and powerpoint are also required  being familiar with mapping software such as arcgis sql or tableau is a plus  the candidate should be a self starter with strong initiative and sound judgment who is able to work both independently and in a team to analyze data and provide written interpretations of both statistical analyses results and methods  the preferable candidate will have experience presenting results to expert audiences such as at national public health conferences and in peer reviewed manuscripts  the preferable candidate will also have knowledge and experience with the electronic death and birth registration systems the cause of death coding system within the international classifications of diseases icd framework and experience with large administrative datasets,2024-11-01,2024-05-10
621008,office of emergency management,1,process and data analyst human capital,01,administration  human resources technology data  innovation,experienced non manager,65000.0,72500.0,annual, strong communication and writing skills and ability to develop relationships with professionals across teams  creative problem solver with strong sense of initiative  experience with project management driving projects tracking progress and seeing tasks to completion  excellent analytical skills and attention to detail to ensure accuracy  comfort working with and analyzing large sets of data and presenting results that tell a clear and compelling story  demonstrated experience working with relational databases and relational database design specific experience using human resource management systems hris is a plus  ability to work with excel on a day today basis using vlookups and pivot tables on a regular basis experience working with macros a plus  experience with data visualization tools including power bi  able to work well under pressure and to manage multiple urgent deliverables and to prioritize workload to anticipate and meet deadlines  knowledgeable in and stays current with trends in policies practices technology and information management affecting the business and organization  ability to adapt to innovative ideas that support nycems organizational strategy  familiarity with nycaps and chrms preferred  experience with human resources processes and data a plus studies have shown that women people of color and other under represented groups are less likely to apply for jobs unless they believe they are able to perform every task in the job description we are interested in finding the best candidate for the job and will consider any equivalent combination of knowledge skills education and experience to meet qualifications if you are interested in applying we encourage you to think broadly about your background and skill set for the role,,2024-05-26
629038,dept of health mental hygiene,1,data analyst bureau of tuberculosis control,02,constituent services  community programs health policy research  analysis,experienced non manager,68900.0,68900.0,annual,,2024-06-03,2024-07-04
627405,dept of environment protection,1,business analyst,02,engineering architecture  planning policy research  analysis,experienced non manager,93288.0,120190.0,annual,,2024-01-04,
628407,campaign finance board,1,data scientist,03,policy research  analysis,experienced non manager,75000.0,90000.0,annual,,2024-04-03,
594373,nyc housing authority,1,senior business intelligence data analyst,02,technology data  innovation,experienced non manager,93288.0,120190.0,annual, experience developing implementing and maintaining complex ms power bi or similar tools dashboards visualizations and analytics  must possess a highly proficient understanding of relational databases and complex database structures including hands on experience writing complex sql queries  strong problem solving and troubleshooting skills which must incorporate data acquisition transformation and delivering information effectively utilizing modern bi tools  hands on experience and proficiency with ms powerbi relational databases sql python or similar programming languages  experience with predictive analytics machine learning and ai are highly desirable  experience with microsoft power platform eg power automate power forms etc is highly desirable,2023-02-08,
633433,fire department,1,director of data science and innovation,m3,policy research  analysis,manager,78721.0,150000.0,annual,candidate must be an excellent communicator team player and exhibit a willingness to learn and work well in diverse teams management experience and strong people skills with a focus on customer service excellent at communicating findings and providing pragmatic analytical solutions advanced degree in operations research statistics computer science management science or a related field that includes research methods and statistical analysis demonstrated ability in programming and logic a good understanding of data requirements relating to application design expert ability in operations research and statistical methods and techniques including deployment analysis and resource allocation modeling systems operations analysis simulation and optimization linear and nonlinear predictive analytics eg deep learning econometrics time series forecasting vehicle routing and related skills experience conducting high level quantitative research and mathematical modeling expertise in statistical stimulationoptimization packages such as c python r sas and stata providing expert judgment in the use and incorporation of analytics including being well versed in the analytics industry best practices literature operations research and emergency response and deployment analytics,2024-10-04,2024-07-09
629470,financial info svcs agency,2,business analyst pms ppms,00,technology data  innovation,experienced non manager,75000.0,130000.0,annual, technical as well as business knowledge and experience with the pms ppms chrms and nycaps systems their interfaces and associated transaction processing  minimum 5 years of experience creating business functional requirements and system design documents that provide logical and creative solutions to complex problems hands on activities must include decomposing business requirements into detail designs that may cover items such as functional and framework features configurations business rules and interface file layouts  minimum 3 years of experience in a project manager or lead analyst position with responsibilities for planning and organizing work develop short and long range plans to meet business objectives and bring subject matter expertise to business interactions and improvement recommendations  minimum 3 years of experience with timekeeping and payroll methodologies  demonstrated experience for meeting deadlines by mitigating risks managing multiple projects simultaneously recommending process improvements and making decisions  ability to translate functional and technical requirements into common business terms  proven experience in designing or configuring systems to meet business processes and relational databases and table structure  ability to work independently as well as work in a multi team environment  knowledge of payroll timekeeping and personnel systems and practices  knowledge of processes for vsf cola sadb 1099 and 1042  proven management and problem solving skills and related experience is required  ability to plan manage time according to schedules and provide management status updates  application development experience is a plus  strong understanding of standard sdlc methodologies  experience using ms office 2010 and later  proficiency in microsoft tools including advanced knowledge in excel access visio and project  proficiency in sql  familiar with new york city agency operations  knowledge of ibm rational clear case and clear quest  excellent communication oral and written interpersonal and organizational skills,2024-11-03,
631322,dept of health mental hygiene,1,data analyst bureau of environmental sciences and engineering,01,health policy research  analysis,experienced non manager,70087.0,70087.0,annual,experience with data management systems exploratory data analysis and data visualization developing informatics reporting tools for field operations and research driven activity integrating data across multiple data sources applying statistical and evaluation measures to complex data and report writing experience with gis based mapping applications familiarity with establishing complex data architectures and working with xml and sql,,2024-07-24
598337,department of transportation,2,it business analyst,00,technology data  innovation,experienced non manager,75000.0,160000.0,annual, 3 years of experience in business communications analysis or project coordination  2 years of experience in gathering and documenting business requirements  1 years of data analysis experience by querying relational databases using sql  proficient with microsoft word excel powerpoint and visio  experience with microsoft teams collaboration platform features microsoft sharepoint power apps service now salesforce and microsoft access  familiarity with jira and azure devops platforms  knowledge of uipath and or robotic process automation,,
586463,dept of environment protection,1,data analyst,00,policy research  analysis,experienced non manager,84451.0,113550.0,annual,,2023-12-05,
634388,housing preservation  dvlpmnt,1,senior business analyst,03,technology data  innovation,experienced non manager,100743.0,115854.0,annual,,,2024-07-24
623949,consumer and worker protection,1,business analyst  623949,00,technology data  innovation,experienced non manager,58700.0,104500.0,annual,1 minimum five 5 years of business analyst experience for large complex technical and or web crm project implementation 2 strong working knowledge of sdlc agile iterative project implementation methodologies user systemfunctional requirements development and user acceptance testing required 3 ability to successfully manage projects from any phase of project lifecycle through deployment into production 4 manage existing or responsible for assembling project teams based on project scope solution delivery requirements or as assigned by senior leadership of the project management office 5 ability to manage communications including meetings agendas meeting minutes and action items 6 user experience ux design knowledge cloud computing knowledge conflict resolution negotiation skills exposure to 7 scrum methodologies 8 exceptional problem solving analytical and organizational skills with a detail oriented approach 9 good interpersonal and relationship building skills with demonstrated track record of superior customer service 10 excellent written oral communications and management skills 11 strong working knowledge of microsoft dynamics crm azure managed cloud services net technology 12 ability to produce results with minimal or no supervision,,2024-06-30
631765,dept of environment protection,3,2024 comm002 business analyst graduate intern,00,policy research  analysis,student,18.0,18.0,hourly, internship experience working in an analytical role engaged in business analysis research  understanding of the engineering and construction industry  ms visio software experience  advanced excel skills including macros  database skills such as access  lean six sigma or other business process analytics selection criteria  demonstrate excellent quantitative assessment of technical and complex material critical thinking and an aptitude for providing analysis under tight deadlines  have a strong grasp of procurement and financial fundamentals  excel in a team oriented environment develop strong collaborative relationships with superiors peers and enjoy working across disciplines and boundaries  manage his or her own time to successfully complete a project,2024-02-04,2024-06-07
605517,department of transportation,1,data scientist,01,technology data  innovation policy research  analysis,experienced non manager,70087.0,84805.0,annual,ideal candidates must be able to demonstrate strong creative and analytical problem solving skills and have experience or demonstrate interest in transportation dynamics transportation policy bike share and or cycling experience working with the public community groups and new york city agencies and strong verbal and written communication skills are also desired experience or interest in autocad arcgis excel powerpoint and or adobe creative cloud are desirable it is desirable that the candidate possess both a valid new york state motor vehicle drivers license and a strong interest in cycling on nyc streets demonstrated experience producing clear and effective data visualizations is highly desirable as is experience explaining complex nuanced analyses to nontechnical and unacquainted audiences ability to relate complex trends in the data to larger policy issues is very important as is being able to work with the operations and planning team to tailor data analysis and products to their needs familiarity with pyspark is desirable as is experience with power bi and or javascript including leaflet or the folium package in python preference will be given to candidates who have demonstrated experience or interest in transportation planning logistics bike share micro mobility cycling and working with or in the public sector,,
633678,dept of health mental hygiene,1,data analyst bureau of hepatitis hiv and sti,02,health policy research  analysis,experienced non manager,82506.0,94882.0,annual, at least 2 years experience in working with surveillance or large registry data hospital or medicaid data or similar large complex relational databases  advanced knowledge of sas  proven analytical skills firm grasp of epidemiological methods and infectious disease epidemiology attention to detail and appreciation for data quality ability to work with a diverse staff of epidemiologists analysts and public health advisors excellent written and oral communication skills  proficiency in excel and familiarity with pivot tables  experience with creating protocols and standard operating procedures including creating flow charts using ms visio drawio or other similar tool  experience with scientific data collection and survey research and a solid understanding of quality assurance and protocol adherence  familiarity with ms access tableau arcgis and redcap strongly preferred,,2025-04-17
605529,department of transportation,1,data scientist,02,technology data  innovation policy research  analysis,experienced non manager,61206.0,84805.0,annual,ideal candidates must be able to demonstrate strong creative and analytical problem solving skills and have experience or demonstrate interest in transportation dynamics transportation policy bike share and or cycling experience working with the public community groups and new york city agencies and strong verbal and written communication skills are also desired experience or interest in autocad arcgis excel powerpoint and or adobe creative cloud are desirable it is desirable that the candidate possess both a valid new york state motor vehicle drivers license and a strong interest in cycling on nyc streets demonstrated experience producing clear and effective data visualizations is highly desirable as is experience explaining complex nuanced analyses to nontechnical and unacquainted audiences ability to relate complex trends in the data to larger policy issues is very important as is being able to work with the operations and planning team to tailor data analysis and products to their needs familiarity with pyspark is desirable as is experience with power bi and or javascript including leaflet or the folium package in python preference will be given to candidates who have demonstrated experience or interest in transportation planning logistics bike share micro mobility cycling and working with or in the public sector,,
629869,dept of health mental hygiene,1,data analyst  new family home visits nfhv initiative bureau of maternal infant and reproductive health,02,health policy research  analysis,experienced non manager,82506.0,94882.0,annual,knowledge of maternal and infant health and home visiting programs proficient in sas strong writing skills with experience in writing publications presenting and prepare public facing documents excellent communication skills ability to work on a multi disciplinary team note this position may be eligible for remote work up to two days per week pursuant to the remote work pilot program agreed to between the city and dc37,,2024-07-11
